osm_id,highway,name,name_es,lanes,lanes_forward,lanes_backward,turn_lanes,oneway,maxspeed,surface,width,road_category,lanes_count,lanes_source,has_lane_data,lanes_missing,lanes_estimate,estimate_is_fallback,is_oneway
1076097150,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076097151,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076097152,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076097153,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076097154,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076097156,secondary,Avenida Carrera 60,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1076097157,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1076097158,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1076097159,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1076097160,secondary,Avenida Carrera 60,,3,,,,yes,20,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076101286,secondary,Avenida Calle 68,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1076101287,secondary,Avenida Calle 68,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1076101288,residential,Carrera 58,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1076101289,residential,Calle 67D,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1077012898,tertiary,Carrera 19,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1079835944,residential,Calle 75,,2,,,,no,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1079835947,secondary,Avenida Carrera 15,,3,,,,yes,30,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1079835948,tertiary,Calle 74,,3,,,,yes,30,asphalt,,local,3.0,osm:lanes,True,False,3.0,False,True
1079835949,secondary,Avenida Carrera 15,,3,,,,yes,30,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1083631426,primary,Avenida Carrera 68,,2,,,,yes,,asphalt,,arterial,2.0,osm:lanes,True,False,2.0,False,True
1083634008,tertiary,Calle 98,,2,,,,yes,30,,,local,2.0,osm:lanes,True,False,2.0,False,True
1083634009,tertiary,Carrera 68A,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1083634010,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1083634011,tertiary,Carrera 67A,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1083634012,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1083634013,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1085676798,secondary,Avenida Carrera 24,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1085676799,secondary,Avenida Carrera 24,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1085676801,secondary,Avenida Carrera 24,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1088507986,primary,Avenida Carrera 50,,2,,,,yes,,concrete,,arterial,2.0,osm:lanes,True,False,2.0,False,True
1088507987,primary,Avenida Carrera 50,,2,,,,yes,,concrete,,arterial,2.0,osm:lanes,True,False,2.0,False,True
1088507988,primary,Avenida Carrera 50,,2,,,,yes,,concrete,,arterial,2.0,osm:lanes,True,False,2.0,False,True
1088507989,residential,Carrera 49D,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1088507990,primary,Avenida Carrera 50,,2,,,,yes,60,concrete,,arterial,2.0,osm:lanes,True,False,2.0,False,True
1089319498,tertiary,Avenida Carrera 50,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1089319499,tertiary,Avenida Carrera 50,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1089319500,tertiary,Avenida Carrera 50,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1089319503,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1089319505,secondary,Carrera 53,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1089319506,secondary,Carrera 53,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1089319508,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1089319514,tertiary,Carrera 64,,2,,,,no,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1089319516,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1089319523,tertiary,Calle 98,,2,,,,yes,30,,,local,2.0,osm:lanes,True,False,2.0,False,True
1089319524,tertiary,Calle 98,,2,,,,yes,30,,,local,2.0,osm:lanes,True,False,2.0,False,True
1090521078,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1090618162,tertiary,Avenida Carrera 50,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1091739000,secondary,Transversal 24,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1091739013,secondary,Avenida Calle 53,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1093941833,residential,Calle 66C,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1093941834,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1094660644,secondary,Avenida Carrera 70,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1094660645,tertiary,Calle 75,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1094660647,secondary,Avenida Carrera 70,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1097972742,residential,Calle 66,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1097972751,secondary,Calle 66,,3,,,,yes,30,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1098941282,secondary,Avenida Calle 72,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1105240003,tertiary,Transversal 25,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1105240004,tertiary,Transversal 25,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1105334605,residential,Calle 84,,2,,,,no,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1105334606,residential,Carrera 27,,2,,,,,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1105334610,residential,Calle 84,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1107749296,tertiary,Calle 64,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1113466325,residential,Carrera 28B,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1115988564,secondary,Avenida Carrera 17,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1116344587,tertiary,Carrera 19,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1117117151,residential,Calle 75,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1120684778,tertiary,Carrera 18,,1,,,,yes,30,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1120766929,tertiary,Carrera 9,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1121097627,tertiary,Diagonal 76 Bis,,3,,,,yes,30,asphalt,,local,3.0,osm:lanes,True,False,3.0,False,True
1122111853,tertiary,Calle 74,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1123253969,residential,Carrera 49A,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1125608320,residential,Carrera 57A,,,,,,,,asphalt,,local,,missing,False,True,,True,False
1125608321,residential,Calle 56,,,,,,,,asphalt,,local,,missing,False,True,,True,False
1125778446,residential,Calle 81,,,,,,,,asphalt,,local,,missing,False,True,,True,False
1126672481,residential,Carrera 68C,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1126843664,residential,,,,,,,,,,,local,,missing,False,True,,True,False
1127345564,secondary,Avenida Calle 63,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1127383955,primary,Avenida Carrera 68,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1127652137,residential,Calle 58,,,,,,,,asphalt,,local,,missing,False,True,,True,False
1127656896,residential,Calle 56B,,,,,,,,asphalt,,local,,missing,False,True,,True,False
1131114249,residential,Carrera 62,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1131114250,residential,Carrera 62,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1132663532,residential,Calle 85,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1132667612,residential,Calle 66A,,2,,,,,,concrete,,local,2.0,osm:lanes,True,False,2.0,False,False
1153621589,residential,Calle 61A,,2,,,,,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1153621590,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1153621591,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1153621592,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1153621594,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1153621595,secondary,Avenida Carrera 24,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1153621596,secondary,Avenida Calle 68,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1153621597,secondary,Avenida Calle 68,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1154793489,secondary,Avenida Carrera 13,,3,,,,yes,30,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1154793490,residential,Calle 54,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1155252530,secondary,Calle 67,,3,,,,yes,30,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1155252531,secondary,Avenida Carrera 11,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1155265826,trunk,Avenida Carrera 30,,3,,,,yes,60,concrete,,arterial,3.0,osm:lanes,True,False,3.0,False,True
1156300776,tertiary,Calle 62,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1156300777,tertiary,Calle 60,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1156300779,primary,Avenida Carrera 7,,3,,,,yes,30,asphalt,,arterial,3.0,osm:lanes,True,False,3.0,False,True
1157054907,secondary,,,3,,,,,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,False
1157054908,secondary,Avenida Calle 68,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1157073975,secondary,Avenida Calle 68,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1157073976,secondary,Avenida Calle 68,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1157073977,residential,Carrera 23,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1157073978,secondary,Avenida Carrera 24,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
